0,"RT @StateDeptSpox: Wheels up! Our donation of 2.5 million vaccine doses is on the way to Taiwan, whose health partnership with the U.S. hel…",0,1419,2021-06-19 23:59:59
1,"“On average, it takes about two weeks for [immunoglobulin G] antibodies to be detectable...so now we’re talking about a December 24 potential infection or sometime even prior to that.” —@kerinalthoff https://t.co/CDoLJ4GAHz",3,1,2021-06-19 23:59:59
2,RT @CNNIndonesia: Jubir Satgas Covid-19 Wiku Adisasmito Positif Corona https://t.co/4SMFUBwwTY,0,191,2021-06-19 23:59:59
3,"RT @BrianMteleSUR: Brazil reached the horrible milestone of 500,000 Covid 19 deaths today. This is US-puppet ruler Jair Bolsonaro's grim le…",0,74,2021-06-19 23:59:59
4,"RT @thehill: Unvaccinated NFL player rips league's COVID-19 rules: ""I'd rather die living"" https://t.co/85riqOASQE https://t.co/w5b3IOTA3E",0,40,2021-06-19 23:59:58
0,"So @GregHuntMP Canadian experts are saying the exact opposite of you. 

What's the in-house name for the rollout? Titanic?

#auspol

https://t.co/Wb5MXFT4br",1,0,2021-06-19 23:59:20
1,"I won't have what she's having (AstraZeneca, Moderna, Pfizer, J &amp; J, any commie or soviet made ""health"" products), thanks.

Monoclonal antibodies (passive vaccines) are next level to combat the man-made and ""not here to stay"" SARS-CoV-2.",2,2,2021-06-19 23:59:06
2,RT @Saints_Dragons: This was an absolutely appalling decision by Morrison. They refused Pfizer offer of 40 million doses claiming AstraZene…,0,228,2021-06-19 23:57:53
3,"@schmittpaula @tweetyes31 @paulovjcastilho Este estudo menciona a Pfizer, não a AstraZeneca:  ""a very recently published study... showed that the relapse rate after vaccination with the Pfizer- BioNTech COVID-19 vaccine was similar (approximately 2%) to the relapse rate in a comparative time period without vaccination""",0,0,2021-06-19 23:57:47
4,RT @Mana54419246: Appalling decision by #MorrisonGovernment #Pfizer offered 40 million doses claiming AstraZeneca was cheaper. #PfizerVacci…,0,25,2021-06-19 23:56:27
